Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (17.8201, 9.07981)
2: (x, y) = (8.4307, -8.57914)
3: (x, y) = (13.2691, 10.8268)
4: (x, y) = (17.0853, 30.4593)
5: (x, y) = (27.0853, 47.7798)
6: (x, y) = (43.2657, 59.5355)
7: (x, y) = (29.6257, 74.1626)
8: (x, y) = (43.5189, 59.7758)
9: (x, y) = (28.8918, 46.1358)
10: (x, y) = (9.66655, 40.6231)
11: (x, y) = (20.8504, 24.0423)
12: (x, y) = (20.5014, 44.0393)
13: (x, y) = (29.2688, 62.0152)
14: (x, y) = (24.4303, 81.4211)
15: (x, y) = (42.974, 73.929)
16: (x, y) = (27.2138, 61.6157)
17: (x, y) = (9.8933, 71.6157)
18: (x, y) = (2.07868, 90.0258)
19: (x, y) = (7.92611, 70.8997)
20: (x, y) = (21.5661, 56.2727)
21: (x, y) = (27.7464, 37.2515)
22: (x, y) = (41.8886, 23.1094)
23: (x, y) = (36.7122, 42.4279)
24: (x, y) = (18.586, 50.8803)
25: (x, y) = (4.19922, 64.7734)
26: (x, y) = (-15.7521, 66.1686)
27: (x, y) = (-35.158, 61.3301)
28: (x, y) = (-23.4023, 77.5105)
29: (x, y) = (-14.9499, 59.3843)
30: (x, y) = (-28.5899, 74.0114)
31: (x, y) = (-29.2879, 54.0236)
32: (x, y) = (-9.59171, 57.4965)
33: (x, y) = (-3.08034, 38.5862)
34: (x, y) = (-18.6233, 51.1726)
35: (x, y) = (-21.4067, 31.3672)
36: (x, y) = (-9.65102, 15.1869)
37: (x, y) = (-29.6388, 15.8849)
38: (x, y) = (-49.4898, 18.3222)
39: (x, y) = (-49.4898, 38.3222)
40: (x, y) = (-35.3476, 24.1801)
41: (x, y) = (-18.0271, 14.1801)
42: (x, y) = (-28.3279, 31.3235)
43: (x, y) = (-16.2916, 47.2962)
44: (x, y) = (-9.12422, 28.6246)
45: (x, y) = (-1.95686, 47.2962)
46: (x, y) = (-12.8496, 30.5228)
47: (x, y) = (-1.37811, 46.9058)
48: (x, y) = (-19.649, 55.0405)
49: (x, y) = (-33.5422, 69.4273)
50: (x, y) = (-49.0851, 82.0137)
51: (x, y) = (-29.1338, 83.4089)
52: (x, y) = (-22.6225, 64.4985)
53: (x, y) = (-25.7512, 44.7447)
54: (x, y) = (-16.9837, 26.7688)
55: (x, y) = (-36.9715, 27.4668)
56: (x, y) = (-44.4637, 8.92316)
57: (x, y) = (-64.3541, 11.0137)
58: (x, y) = (-67.4828, 30.7675)
59: (x, y) = (-78.9543, 14.3845)
60: (x, y) = (-63.4114, 1.79805)
61: (x, y) = (-81.6823, -6.33669)
62: (x, y) = (-88.1937, -25.2471)
63: (x, y) = (-106.604, -17.4324)
After 63 steps, the subject has the following location:
(x, y) = (-106.604, -17.4324)
 or
(m,a) = (108.02, -170.713)
Average outward distance per step = 1.7146
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (6.8404, 18.7939)
2: (x, y) = (-12.9134, 15.6652)
3: (x, y) = (1.71371, 2.0252)
4: (x, y) = (-17.9188, 5.84138)
5: (x, y) = (-1.94612, -6.19492)
6: (x, y) = (13.3748, 6.66083)
7: (x, y) = (0.788358, 22.2037)
8: (x, y) = (-18.699, 17.7047)
9: (x, y) = (-14.8829, 37.3373)
10: (x, y) = (-12.4455, 17.4863)
11: (x, y) = (7.11748, 13.3281)
12: (x, y) = (-12.8795, 12.9791)
13: (x, y) = (-30.0228, 2.6783)
14: (x, y) = (-49.2481, -2.83444)
15: (x, y) = (-33.2753, 9.20186)
16: (x, y) = (-22.0915, -7.3789)
17: (x, y) = (-41.41, -12.5553)
18: (x, y) = (-57.5903, -0.799571)
19: (x, y) = (-70.7115, 14.2946)
20: (x, y) = (-52.1679, 21.7868)
21: (x, y) = (-42.4717, 4.29436)
22: (x, y) = (-34.657, -14.1157)
23: (x, y) = (-15.8632, -20.9561)
24: (x, y) = (-9.35182, -39.8665)
25: (x, y) = (-29.1572, -37.0831)
26: (x, y) = (-45.3375, -25.3273)
27: (x, y) = (-64.9701, -21.5112)
28: (x, y) = (-45.4071, -17.3529)
29: (x, y) = (-65.0397, -21.1691)
30: (x, y) = (-82.3602, -11.1691)
31: (x, y) = (-81.6622, 8.8187)
32: (x, y) = (-70.1906, 25.2017)
33: (x, y) = (-78.3254, 43.4727)
34: (x, y) = (-69.558, 61.4485)
35: (x, y) = (-58.9596, 78.4095)
36: (x, y) = (-65.1399, 97.4306)
After 36 steps, the subject has the following location:
(x, y) = (-65.1399, 97.4306)
 or
(m,a) = (117.2, 123.766)
Average outward distance per step = 3.25557
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (-12.3132, -15.7602)
2: (x, y) = (5.5069, -24.84)
3: (x, y) = (8.63559, -44.5938)
4: (x, y) = (7.24046, -64.5451)
5: (x, y) = (23.2132, -52.5088)
6: (x, y) = (26.6861, -32.8126)
7: (x, y) = (45.2298, -25.3205)
8: (x, y) = (48.7028, -45.0166)
9: (x, y) = (42.1914, -63.927)
10: (x, y) = (25.2305, -74.5254)
11: (x, y) = (22.447, -54.72)
12: (x, y) = (41.2408, -61.5604)
13: (x, y) = (56.1037, -74.9431)
14: (x, y) = (36.7852, -69.7667)
15: (x, y) = (34.3478, -49.9157)
16: (x, y) = (19.2536, -63.0369)
17: (x, y) = (6.66723, -78.5798)
18: (x, y) = (4.57667, -98.4703)
19: (x, y) = (16.3324, -82.2899)
20: (x, y) = (4.86084, -65.9069)
21: (x, y) = (13.9407, -48.0868)
22: (x, y) = (5.80592, -66.3577)
23: (x, y) = (8.58938, -46.5523)
24: (x, y) = (26.0818, -56.2485)
25: (x, y) = (36.6802, -39.2876)
26: (x, y) = (55.7013, -45.4679)
27: (x, y) = (70.5642, -58.8505)
28: (x, y) = (89.7894, -64.3633)
After 28 steps, the subject has the following location:
(x, y) = (89.7894, -64.3633)
 or
(m,a) = (110.475, -35.6339)
Average outward distance per step = 3.94554
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (19.8904, 2.09057)
2: (x, y) = (7.85414, -13.8821)
3: (x, y) = (7.15615, 6.10568)
4: (x, y) = (2.65713, -13.3817)
5: (x, y) = (4.7477, 6.50871)
6: (x, y) = (2.31031, 26.3596)
7: (x, y) = (-16.3613, 33.527)
8: (x, y) = (-36.1667, 30.7435)
9: (x, y) = (-22.2735, 45.1303)
10: (x, y) = (-22.9715, 65.1181)
11: (x, y) = (-35.2847, 80.8784)
12: (x, y) = (-53.2606, 72.1109)
13: (x, y) = (-38.3977, 85.4935)
14: (x, y) = (-31.2303, 104.165)
After 14 steps, the subject has the following location:
(x, y) = (-31.2303, 104.165)
 or
(m,a) = (108.746, 106.69)
Average outward distance per step = 7.76758
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (-10.8928, 16.7734)
2: (x, y) = (-27.8537, 6.17503)
3: (x, y) = (-27.8537, -13.825)
4: (x, y) = (-43.1746, -0.969222)
5: (x, y) = (-34.7223, 17.1569)
6: (x, y) = (-15.5962, 23.0044)
7: (x, y) = (-10.7577, 3.59845)
8: (x, y) = (-29.6681, -2.91291)
9: (x, y) = (-11.6922, -11.6803)
10: (x, y) = (-30.4861, -4.83993)
11: (x, y) = (-49.2799, -11.6803)
12: (x, y) = (-45.4637, -31.3129)
13: (x, y) = (-39.951, -50.5381)
14: (x, y) = (-39.951, -30.5381)
15: (x, y) = (-52.2642, -46.2983)
16: (x, y) = (-55.0477, -26.493)
17: (x, y) = (-42.7345, -10.7327)
18: (x, y) = (-27.6403, 2.38843)
19: (x, y) = (-27.9893, 22.3854)
20: (x, y) = (-21.809, 3.36426)
21: (x, y) = (-34.9302, 18.4584)
22: (x, y) = (-15.0397, 20.549)
23: (x, y) = (-31.8131, 9.65624)
24: (x, y) = (-11.8619, 11.0514)
25: (x, y) = (-26.004, -3.09077)
26: (x, y) = (-10.6831, -15.9465)
27: (x, y) = (-5.17035, 3.27871)
28: (x, y) = (8.21226, -11.5842)
29: (x, y) = (-5.92988, -25.7263)
30: (x, y) = (3.14993, -7.90619)
31: (x, y) = (-9.1633, -23.6664)
32: (x, y) = (-16.9779, -42.0765)
33: (x, y) = (-1.435, -29.4901)
34: (x, y) = (9.74886, -12.9093)
35: (x, y) = (11.492, -32.8332)
36: (x, y) = (30.9794, -28.3342)
37: (x, y) = (18.393, -12.7913)
38: (x, y) = (-1.53093, -14.5344)
39: (x, y) = (-13.0025, -30.9175)
40: (x, y) = (-1.53093, -47.3005)
41: (x, y) = (-5.00389, -27.6043)
